,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,state,two,trump,presid,told,time,would,would,peopl,system,peopl,befor,countri,take,accord,day,group,new,time,european
1,russian,befor,hous,report,state,go,countri,send,two,week,die,day,compani,get,2016,make,forc,make,like,percent
2,two,would,white,nation,presid,becaus,prime,twitter,kill,intern,found,even,develop,peopl,develop,person,state,past,could,euro
3,foreign,case,news,ani,would,like,posit,sinc,polic,countri,say,first,intern,say,state,peopl,attack,much,first,daili
4,three,month,meet,includ,two,would,minist,countri,around,european,use,right,plan,day,work,still,told,fund,come,say
5,presid,minist,senat,say,first,trump,show,two,author,last,famili,court,key,like,time,way,govern,use,peopl,china
6,peopl,polit,press,law,includ,onli,member,facebook,attack,new,life,go,polici,use,oper,famili,sourc,impact,take,increas
7,accord,last,donald,state,russia,thing,deal,germani,hospit,high,man,presid,unit,learn,foreign,look,news,compani,thing,world
8,moscow,n't,ani,last,news,hous,told,could,area,nation,mani,get,technolog,time,russian,news,report,work,last,million
9,russia,time,administr,agenc,say,n't,report,google+,time,research,two,peopl,expect,want,well,onli,sinc,percent,nation,chines
