,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,film,parti,attack,bank,peopl,trump,germani,china,woman,would,new,north,say,china,israel,russian,russian,russia,trump,last
1,scotland,elect,polic,china,n't,hous,german,chines,peopl,govern,order,korea,peopl,korea,palestinian,trump,sport,russian,presid,time
2,africa,vote,kill,invest,say,presid,trade,say,child,minist,state,kim,immigr,north,trump,tax,russia,moscow,court,art
3,scottish,govern,forc,compani,like,white,trump,compani,day,ireland,ban,korean,work,tillerson,isra,russia,world,talk,would,club
4,south,wilder,peopl,market,time,republican,countri,market,famili,brexit,travel,report,law,nuclear,state,turkish,cup,meet,state,team
5,independ,polit,group,develop,get,report,presid,product,state,may,peopl,missil,n't,south,climat,turkey,moscow,minist,administr,area
6,referendum,minist,govern,percent,would,would,world,busi,trump,servic,water,malaysia,chines,trump,polici,return,olymp,foreign,order,leagu
7,sturgeon,dutch,report,econom,make,committe,merkel,new,time,union,citi,two,mani,state,intern,campaign,team,/tass/,law,search
8,african,poll,two,rate,day,intellig,european,million,man,say,york,south,china,would,countri,presid,athlet,state,senat,citi
9,peopl,countri,syrian,billion,want,campaign,would,develop,life,time,court,system,famili,countri,presid,erdogan,game,syria,judg,museum
