,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
0,3175,2454,702,618,2940,2812,2889,3352,3065,1068,664,1424,2767,2970,3760,2353,3428,852,660,280
1,252,2149,1263,434,115,3267,3137,546,3070,1614,1088,2602,441,2825,3095,2325,2735,1352,95,2003
2,2653,2352,3038,390,64,3582,2866,505,3362,1083,2290,1945,97,34,1384,2329,2145,210,3063,1161
3,269,2507,2760,2188,1117,3249,1200,433,2019,1849,960,1446,481,2756,3768,2384,857,806,666,889
4,253,1688,1403,3345,747,1423,2741,514,72,3364,1030,3758,398,3004,2862,2309,197,2539,3716,2956
5,997,2467,2471,347,3674,3699,2858,579,2391,3645,4,1322,1318,2160,336,2491,2450,150,3266,267
6,917,2562,3252,587,1886,2684,1691,458,2134,1183,1072,1822,396,2374,1163,2297,172,855,3491,3371
7,918,2360,3237,630,3709,3566,2931,392,1534,2130,2223,1767,502,2170,1935,2322,137,785,3193,1365
8,1590,1805,1380,623,3675,3487,2898,488,278,3242,3394,1968,2712,3742,2463,2608,832,3170,2500,902
9,101,2462,2466,464,2320,1860,243,479,3777,1784,2213,3778,52,2967,318,2402,776,3223,1514,3190
10,417,910,1136,1954,3025,1519,899,585,79,69,1510,1826,357,2723,1190,2296,1679,1149,2604,1359
11,2817,2530,1815,813,2622,3403,2692,474,1624,1188,3113,1595,2669,3007,1035,1331,808,141,2515,266
12,2330,2208,1100,410,711,3271,239,2191,1676,1282,1306,2378,3231,2548,315,2411,831,838,6,2915
13,2761,2433,3101,1960,2722,1740,2961,469,3406,1191,3560,2513,2461,2905,1275,2410,853,2144,706,2158
14,2994,2151,2366,185,3715,3486,862,628,1127,2242,1040,1480,494,2815,3640,2321,3732,2880,2603,3498
15,1256,2886,3100,616,707,2314,3232,394,2195,3418,2212,1880,403,1500,2056,662,842,2140,2556,897
16,2164,1699,1386,526,2426,3567,457,2773,2203,3214,2358,1529,2665,2074,329,2464,2040,835,2499,45
17,772,2300,324,465,3208,3689,1464,583,1387,1733,665,1847,407,2701,257,2904,131,125,2521,220
18,399,1670,2903,3219,2121,1852,1690,1956,3783,3243,2233,1620,436,2225,3580,2361,143,826,1295,3012
19,2024,2567,2896,606,1129,3066,3148,383,3510,1084,1044,3543,2272,3230,3331,2415,201,2340,3153,2349
20,881,2373,1177,1065,3151,1872,2351,423,3521,1966,1012,2006,2289,2414,3097,2113,165,1013,1601,3551
21,693,878,3029,372,2704,2482,3215,1484,2227,1623,1434,2612,408,1393,2162,2576,836,2259,1094,2779
22,3075,2611,3538,615,3712,2110,1159,346,2175,637,2475,1492,619,2313,2359,1708,805,1349,233,692
23,3721,2166,3610,120,3585,1236,877,627,2065,1735,2007,1605,1080,2299,2407,3323,769,129,3265,921
24,3437,1723,35,541,2237,2017,2785,2769,704,1841,2217,1291,595,365,1442,2598,207,3164,1115,2380
25,3026,2389,1696,1489,2714,1436,2357,2185,1296,2201,1598,1414,1657,1804,3629,2596,792,765,2975,882
26,2068,2919,2944,617,3401,2109,265,1391,3399,2609,994,3018,54,3013,1054,3039,768,216,667,2337
27,2172,2383,2472,373,3719,3062,1920,370,1126,1726,328,1438,1324,2062,2363,2178,1459,3730,3685,3085
28,2129,2412,323,1685,1335,2503,2853,382,2703,2286,2098,2390,402,2971,3632,2250,3033,174,3199,3044
29,3789,2666,1135,387,37,3250,1057,2772,1768,1392,1986,1749,359,1261,1470,3539,135,781,938,1715
30,2193,861,2073,3531,3714,3149,2681,1063,1546,2920,3384,3469,2274,976,3454,2599,858,2256,950,3354
31,237,2413,1816,343,2419,3264,670,543,1079,633,939,1586,1581,3500,7,3623,3439,3739,3565,3787
32,1901,1555,1033,510,2029,2364,2682,361,2626,1287,2091,1862,2765,964,3435,1298,797,843,675,3474
33,2591,11,3757,460,3666,3192,2929,420,2784,3108,1411,1976,440,2646,940,2317,163,1458,1643,2288
34,1922,2281,2908,3165,3511,3360,3573,620,2304,3647,3419,1551,3324,3139,270,1019,819,3735,1270,2616
35,2786,2552,1180,473,1540,3387,535,349,1843,1394,2751,1219,1928,1449,2554,2538,3529,3425,1121,1339
36,1498,2302,2749,1495,1432,2400,421,577,708,1081,2306,1557,483,1824,3240,2502,127,3603,2315,103
37,3034,2396,1220,626,1448,3705,136,522,3711,1288,2055,1729,2244,1430,3385,227,156,134,1998,2564
38,1478,2660,3183,350,2010,2018,1144,527,1573,3358,2431,1508,1661,2930,1167,1469,2613,1798,1317,1429
39,40,2555,3293,1018,1439,2283,3622,544,2836,3547,2269,3131,51,1390,326,175,241,128,949,3654
40,845,244,1710,2727,3285,3690,1026,511,2394,2671,2559,2966,3749,3696,3620,2282,87,202,1333,2060
41,2331,2137,2823,456,907,3057,874,353,2398,3548,1227,1576,893,3321,3544,170,760,203,968,1157
42,1201,2310,2169,2444,2707,3710,461,1067,3540,1610,2688,1354,2379,1422,2891,2965,2950,1684,2932,731
43,2868,2455,2174,1958,2594,1997,1160,393,1511,2080,2572,1593,2953,956,2745,1592,3121,780,2099,1850
44,2101,3634,3072,470,2429,2813,2696,3349,2855,2205,3253,1496,1596,948,3489,1361,212,2037,639,1926
45,3372,933,3241,582,757,1203,2044,381,2872,2093,3561,2346,2311,2584,1074,2114,844,3423,1087,2251
46,1467,334,1538,355,686,3068,3207,1955,2124,2194,2819,1899,695,2617,3011,3078,967,2345,2798,297
47,43,27,1950,789,3157,1996,985,856,3679,3105,3553,1680,698,1421,305,3606,2730,2344,2639,3506
48,2618,2277,1189,565,1120,1987,3314,472,3383,3370,3578,1342,401,3197,2568,2312,196,2878,716,1292
49,2645,3316,1580,2802,1010,3661,459,1957,1138,3201,3296,2211,1340,999,2119,3450,3618,2253,1774,922
50,2633,1603,2900,589,1230,2401,492,487,3051,3468,1494,2267,1701,94,3117,3701,206,2641,3507,2917
51,497,1692,1531,3036,1435,1755,2514,2184,2021,116,2082,3379,1169,2508,2278,2141,3736,1682,1097,112
52,2469,1811,3138,548,1790,1444,2111,2774,3517,1971,2505,3488,1728,3552,2753,659,815,133,657,697
53,914,2115,46,2771,2324,2215,2043,363,2982,3209,2509,699,358,2942,3460,2541,694,3683,3592,679
54,1953,2894,1602,477,16,1517,2697,1482,1102,3471,2107,3720,3581,3444,22,3222,2882,1016,673,2729
55,1585,2888,2824,1838,2960,1107,2742,542,1109,3236,2986,2052,1702,3189,766,2957,2875,1350,635,2045
56,689,2746,2066,1066,3294,2095,2706,462,3770,3786,2532,3457,2569,901,928,2902,39,846,73,1260
57,3019,1789,2747,761,3289,2096,1155,3350,2173,3467,2477,3393,610,1994,1821,1158,3181,3530,1099,767
58,2624,1023,952,818,1525,3575,2804,1483,1052,3466,3535,975,2264,3174,314,2884,3234,1021,3067,2511
59,3541,3179,3096,550,969,1527,451,622,2332,2112,2103,1301,519,3533,2874,744,258,804,3050,2393
60,863,3043,2661,1488,2719,1867,260,471,1658,1396,3545,2976,53,1091,3339,1583,798,173,1717,2778
61,1591,2561,3619,416,2027,1217,1481,374,1400,3772,3588,2485,68,3337,2907,2504,790,126,728,1454
62,1578,1053,1472,1959,756,2981,3355,442,1509,2292,1999,1724,676,1579,2053,1763,2952,176,1520,3409
63,936,3092,3341,851,2593,3374,251,547,1323,2673,2239,1473,2097,2743,3697,1877,152,155,1,484
64,1813,3443,3020,218,105,2230,1153,564,2677,3642,2177,1042,1547,3549,1830,3501,1694,1146,3144,2763
65,3513,1840,3161,475,2441,2005,2789,2183,1360,3359,1338,1530,2179,3479,1814,1876,3431,3031,2323,3657
66,2165,1615,1825,3218,1905,1093,1152,529,663,1199,2523,1425,3465,2954,1703,2630,1802,802,2421,3744
67,288,316,730,2879,1892,1982,3747,540,50,3228,2528,3205,596,3010,2470,1150,2805,186,1092,720
68,1089,1173,3599,801,2621,3263,886,468,1345,3554,1745,2995,930,1466,1474,942,3168,1351,1646,228
69,1881,1792,2071,563,758,1289,3508,552,1746,2381,1597,3771,2263,1075,770,2597,119,3162,1506,599
70,3156,1048,1166,520,3145,3389,1817,2770,2258,2644,1209,983,1475,1369,3476,1919,3016,829,2936,247
71,1765,2550,1368,146,2909,1214,908,478,1608,3785,1652,3738,1110,887,1049,1747,182,200,1757,295
72,2438,322,3090,995,2638,2004,588,405,1305,2924,1985,3480,2959,71,1231,1854,1455,3733,1206,998
73,2737,1834,1165,1803,3410,2232,223,1280,1336,719,2214,2999,1111,903,3495,2887,307,1560,2520,1221
74,1345,1618,1831,2439,2941,3212,2050,1485,2721,3659,2911,1810,1832,2226,3064,3378,2948,2647,3411,2291
75,3373,1347,2826,2446,62,3269,2487,455,2365,3652,2694,3734,1460,3522,3492,784,1355,3224,746,29
76,713,3091,3040,1281,2711,3133,2083,463,3042,2777,1748,3604,2901,167,3672,3216,3456,3681,973,3047
77,310,3098,2865,1011,2011,3127,263,586,2715,1237,1344,2493,1503,2049,989,3220,690,124,1629,2916
78,919,648,926,581,688,2822,1571,3346,3562,2293,2498,974,2912,1207,332,954,749,142,668,1069
79,3124,735,2848,389,2122,3390,2549,1276,3765,3722,9,3195,2752,983,934,3388,2877,810,2842,3356
80,317,3094,1367,413,1893,3136,2744,629,2014,1397,2695,3010,929,302,1513,823,2081,3225,1772,824
81,2229,2072,900,342,2231,1420,2890,376,32,3367,1664,1795,2914,2585,298,682,2247,121,2864,3160
82,2243,726,1164,2341,100,2416,872,426,3417,3414,3028,2226,3344,1320,2181,3464,123,181,1559,3295
83,909,2662,2906,837,3718,1098,1140,1962,1479,2087,1302,1075,517,974,1373,3458,748,791,3284,2327
84,2173,2460,2287,924,1673,3135,1168,1487,3595,2210,1304,504,320,254,3483,3430,2654,775,3377,1873
85,3481,1904,2070,2573,42,3568,733,1062,2632,3590,2563,3021,292,953,1582,1004,872,3119,26,2026
86,1785,274,925,341,2578,1952,3630,380,2075,1734,3706,2954,1869,3611,2479,1762,1456,1252,1116,1707
87,2047,3079,1570,254,86,2524,1156,525,2791,1406,1667,3049,3280,1302,1981,1764,3559,3081,959,709
88,2171,1498,2474,78,2334,3277,3006,721,2676,1836,650,3728,1379,1408,898,1900,2662,2733,671,250
89,3532,1267,2758,3609,1170,1741,24,621,1599,3448,2496,3198,936,895,609,3625,3461,2643,1879,894
90,2725,223,1343,2404,755,3027,576,2190,2427,1194,1195,205,871,1042,3617,1003,1801,1686,653,923
91,1347,932,3009,198,3402,3134,884,427,2892,1842,480,3169,1938,3233,3094,2877,767,1687,2938,3126
92,1936,1468,641,495,1677,1866,2801,3353,1799,2531,3453,2335,1404,3318,1505,3504,687,3731,3395,294
93,1561,268,3312,1147,2118,1228,2457,545,3769,3644,1407,3656,2651,3297,924,1773,138,2543,19,944
94,255,1257,647,490,1337,2964,1712,450,1450,743,981,1980,2558,219,2171,3260,146,783,1229,1090
95,3129,3335,2648,430,1329,3291,759,1486,65,3776,1750,255,437,3001,1378,3107,3011,854,1413,2350
96,1034,2369,107,2951,3213,2698,2895,513,984,736,1642,1294,2525,1577,1709,3217,2386,1246,1647,555
97,3445,1765,681,507,3059,2800,2893,2015,1179,632,2497,2142,643,3099,2057,31,214,169,1499,3479
98,88,612,2163,575,2969,2788,3091,580,1476,3743,10,2316,1046,2268,1034,799,183,3163,1311,911
99,1600,3369,3037,2457,1326,2790,3079,847,1172,2086,2989,764,1744,1341,561,18,3738,812,3598,81
