,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
76,928,845,14,66,2820,1488,2457,3154,1813,2234,3156,843,2393,3539,2441,1219,3698,966,2323,679
77,326,1655,1297,307,1356,606,2458,959,3413,1544,3680,787,3488,937,723,1530,1972,2689,3575,3481
78,2692,484,1111,1088,2896,474,263,1901,2387,2704,1157,188,3419,1050,3142,2299,3566,1374,2860,1841
79,2160,293,3507,117,1941,343,239,2352,1948,1886,2885,1797,858,3483,727,974,2782,663,1774,2088
80,2033,2677,1092,388,717,431,3539,2416,2417,3714,3773,852,2679,1698,3635,3200,3076,2362,2230,1721
81,2889,558,2837,113,2008,435,891,707,1136,3712,3776,3163,2494,1389,2335,2414,1019,2686,3281,1727
82,2062,357,1333,1044,2371,2184,2666,957,2155,1889,719,848,2916,3378,2926,3696,1238,3729,2322,1614
83,2639,33,956,2581,3564,383,289,1722,1570,1431,30,3220,1141,1974,300,2999,1764,642,3193,3550
84,1395,3500,3685,851,2474,456,1258,2397,702,1903,3766,3164,3720,910,1113,1430,2834,2923,12,3468
85,983,3181,890,1845,1100,585,869,2910,3627,711,2761,192,723,3634,1045,174,2717,3623,3265,1726
86,1300,2247,2515,361,885,2772,2277,2684,1704,2714,3554,2543,2869,1599,3585,2374,3487,2328,3267,3364
87,3259,99,1744,757,1929,583,2114,3143,2117,1129,2729,2598,3384,2669,248,3775,3027,1330,2623,2792
88,1311,439,1169,2118,3695,1063,260,588,2758,2022,2920,3431,3356,1735,45,2085,3357,3631,3494,649
89,2930,1119,2461,805,2168,1489,265,2118,3591,1334,3448,1798,2564,3767,2925,2339,1527,1409,3579,3784
90,3703,288,32,1192,1825,355,2680,3451,3762,321,1467,2539,2695,3729,596,2976,1203,2107,2221,2587
91,2831,1713,933,2207,661,378,2389,2196,1263,1296,3234,855,1240,2181,1439,3202,2296,3258,3669,1949
92,2942,396,1132,1295,2061,342,2549,2770,3340,2861,3722,173,3545,861,944,2646,1865,2039,2308,1981
93,2111,277,1412,689,3641,1961,3322,113,1580,3145,1392,2600,2090,1080,3628,22,3568,1624,1233,3480
94,1216,2342,2499,994,3757,460,2561,3613,2663,3584,1429,3078,3535,1163,377,1449,3701,3752,2818,2926
95,1042,709,938,303,3455,1495,884,3616,3724,2426,2588,2451,2435,2250,2672,1409,2232,1720,1420,2244
96,1218,1221,3722,29,2996,3526,895,1553,3619,1327,3048,2544,2952,3541,2827,800,3717,1676,1001,1632
97,2443,454,971,597,159,512,2585,2227,1138,38,743,3081,3366,3343,3769,34,3149,2893,3266,3245
98,305,724,1661,2076,1915,586,3227,1351,2469,2979,1967,3682,3131,647,597,811,1944,2935,3633,2402
99,1371,515,2817,1221,926,1279,221,1254,3541,3143,3583,153,1675,3035,111,975,1631,560,3589,1902
