,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
49,115388,88472,61489,38744,109695,68332,106740,18709,44071,54770,66666,92647,122343,82390,18264,75584,34834,45904,123183,46396
50,53765,100179,140083,28464,110103,48088,106738,51531,44661,54832,52905,69328,121194,45975,3633,3039,139805,49023,43622,72353
51,42422,59466,65098,28405,86462,126571,120889,8982,62111,54880,68537,38730,92654,95299,22656,102279,134232,57669,48129,106493
52,136496,115024,32090,103157,108742,100923,46292,75044,62132,55089,73703,196,33159,141382,38669,75653,97752,66306,79776,60286
53,114313,18523,81180,60235,25065,127430,61437,82576,63661,55267,79747,86828,57617,98499,9291,27124,107259,30269,121886,18998
54,79885,89116,48822,140102,43169,102782,44905,10195,62079,55582,134093,16668,106032,18744,37364,76595,86668,128252,44208,139609
55,139541,19678,18589,138627,44485,128821,78674,82559,63444,54611,70291,48104,121279,34266,25907,15249,58984,58766,46768,113117
56,127200,42343,34295,34296,80421,95411,71882,85371,63265,55187,90187,141481,57621,92754,97621,21016,102516,92032,47839,53901
57,83336,57179,34299,60972,11909,106139,34429,61617,62742,65572,12811,93534,117367,7420,22561,136964,41829,57572,118858,82760
58,84255,58691,9212,35967,52688,36239,12693,41110,96163,25783,113077,89316,34827,52427,15740,33562,41278,22940,49331,130203
59,138387,64158,8713,33076,56480,130243,109677,141389,63609,63041,69195,36970,57685,101686,110074,75578,60297,25587,80976,22934
60,92557,40316,62323,71302,47868,126162,78519,27614,63823,72816,16344,140023,7850,115746,13511,24212,40319,27514,47408,46849
61,112133,92573,8114,93187,74593,106444,44021,9716,8633,73328,105607,82828,44768,128547,21600,72797,131262,74585,123708,2423
62,37845,68000,14814,114642,99483,114830,63281,22440,62498,76254,72404,147,37491,104866,26023,137574,79947,28881,90710,20208
63,85398,59102,20994,71198,41045,104822,9164,22979,63509,28580,65804,88634,121375,55133,23732,18388,86235,16193,84290,49949
64,42837,69037,32127,113189,104114,100735,134801,95197,96342,24485,39974,102649,33137,2308,7377,140874,79757,29973,121864,8822
65,109878,85919,139979,93249,126778,109837,107165,71971,61497,22728,69215,35662,48933,8053,63079,128979,85384,46205,53040,52692
66,113534,88897,78779,54759,40877,79604,56613,56634,44467,105030,112433,98895,134971,98059,70698,78312,103606,21645,48750,28024
67,84138,58804,113986,137675,63726,79548,67834,71815,10402,24894,104656,101777,96942,106142,112773,75061,98777,58339,46736,51972
68,128292,35776,63226,53024,111021,43020,108233,61335,56560,63221,65452,93081,94318,127905,31315,29636,89077,42492,125940,73872
69,103393,66573,65680,57878,105262,53685,11302,22766,82004,18751,127753,12903,33985,45519,16041,137791,84716,29317,47153,9208
70,82228,57887,29778,126098,105299,107262,99234,13997,63902,16864,68391,89362,68601,101569,29610,131963,93996,128139,98100,19884
71,6362,62670,70749,59431,46214,26691,28333,130401,63376,11331,120064,48063,20736,1944,69309,31338,92170,21643,124545,4760
72,140214,65197,70491,69145,84640,107908,81266,57170,63619,15366,69485,84918,124142,138585,102212,47122,88445,139413,77837,79207
73,29629,81663,70453,67878,141019,42895,49911,6468,9478,10535,139024,33682,84982,110285,36717,3090,33496,18761,44275,45512
74,5123,89666,66523,37290,45449,94927,113506,28380,82063,59255,51795,83587,6095,52104,70153,18320,100829,24512,767,20772
75,84674,58014,48807,88505,74217,80340,126075,72099,13403,59327,37260,32106,32591,87547,23965,20346,84734,137075,48218,111409
76,108305,60060,66499,36846,89451,25496,78716,77596,44877,59850,67612,77613,120538,109330,68341,15575,38245,135863,117717,137753
77,136426,82882,61935,58801,13007,37137,126860,35783,81449,59851,59303,108587,36370,111451,99752,51387,2135,21570,45059,70365
78,40387,77731,65425,59432,115511,97380,120979,28502,44920,60013,52980,87736,102519,93476,47806,140830,90040,20521,48769,7540
79,126983,48561,78693,37342,129700,52718,49387,10143,62638,104018,12428,96546,38497,54044,21467,38997,61091,49141,71203,50069
80,86581,94005,15268,114412,103962,100654,119927,8076,45035,98668,15400,114519,133233,94801,27478,98929,40183,136619,123048,113936
81,7901,48540,25262,23112,101929,40619,120814,15156,63530,10897,110183,880,28141,80930,31912,24524,40472,49210,121291,19554
82,108146,59710,18573,40317,67624,51077,108316,61355,63658,88215,98554,5787,37212,48337,22201,127039,90808,26624,46989,55965
83,83225,87662,42115,82418,63913,127422,121358,40789,63384,15694,50492,83193,118128,115098,30804,72642,108030,49212,43387,23396
84,78711,58225,65231,82758,45018,53567,95977,60829,63646,16352,71959,45298,123029,109422,110251,72638,78188,48416,80529,18179
