,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
77,46559,47016,45809,63895,28089,27021,98351,49065,85209,17499,83069,105265,68144,11938,61436,89168,43348,18292,30341,67883
78,61871,44279,93326,48173,42492,13555,26970,54464,19680,63245,44567,23762,92666,136294,135708,15773,70491,92593,87782,15843
79,87840,82461,93602,23650,25351,31557,40904,111392,95570,49771,38006,100735,89210,38744,44372,61681,75711,43673,133631,28481
80,52873,68994,111811,49310,59375,63716,62674,44527,45287,111379,127764,63053,89593,52488,15593,81887,137075,16738,57719,138277
81,27374,83008,27893,82493,63796,23412,49116,13329,91918,41399,26589,108327,82418,96373,23500,140177,23457,29696,137349,44930
82,81808,9475,77651,64585,73383,83799,21517,92880,24238,44103,64203,94369,111845,21131,40357,98321,90434,59202,107376,18472
83,61403,111060,62558,34563,47931,8293,65747,46365,70037,46623,81640,68854,42235,21675,62477,40169,33735,51045,24483,8596
84,64061,65873,126483,12845,9725,27256,34601,40368,23924,63112,47193,12264,4249,69418,66202,66245,114719,19298,88531,10536
85,44882,89284,123183,73211,66537,85890,18823,89386,35469,94791,88836,64657,44283,30047,22325,91842,21440,17618,8385,60519
86,16918,101453,27214,46662,16339,21989,30402,11767,87262,18166,17076,94194,66647,79950,46821,85891,49090,21072,27811,79023
87,91126,65840,82340,12836,8866,61954,38571,85247,69946,31477,102211,140937,82952,47987,13808,86526,69484,79834,29734,65196
88,61911,84059,65535,64322,29652,16780,63728,8516,114535,9150,41509,83839,89880,77909,14698,11483,62046,61374,20117,123738
89,63546,88663,84414,120245,82839,17151,63917,39033,81214,65513,27442,43275,24796,89385,134717,36821,94845,88881,57236,8424
90,61699,44363,84677,17801,48673,65476,82463,18912,85739,46042,16450,80274,93124,84206,48528,48153,16142,86101,64436,61124
91,8086,12214,24310,61766,62243,10899,85588,103243,27027,85821,23035,22247,131162,103144,63556,63181,18135,70318,63980,28613
92,44879,107495,126504,16128,47989,47190,113702,73058,85967,22685,80066,14187,78538,87076,45875,69428,65418,63909,59154,12225
93,44373,81375,92905,28904,122685,8592,126849,94119,81259,78851,42180,42607,89717,112216,45421,84585,20867,22943,61688,25611
94,11945,78168,47307,14808,43466,27925,58052,122010,47486,80308,92862,25209,60602,86207,13521,80970,20436,27902,80731,62748
95,29085,28523,118118,66664,85127,14272,71645,82272,93433,63288,45292,82258,93109,69618,23393,47668,93343,45503,33354,28509
96,14386,8400,30590,24335,64900,44273,80492,87894,91886,32363,45363,94726,67270,47455,44113,84235,64459,89550,82615,63319
97,65200,46167,92751,12569,14902,53985,47780,91963,33655,52951,45364,64681,84300,62245,47736,94963,28234,91640,14988,62946
98,61434,46327,94278,59384,24389,111278,69460,45293,43504,41614,137021,22181,83687,95893,57153,3679,91224,45314,63046,34303
99,12396,47309,109116,39434,139307,36431,16320,15190,93425,88162,137114,80915,67349,57164,61501,82433,15709,48556,77946,94851
